title,image_url,sadness,neutral,contempt,disgust,anger,surprise,fear,happiness,score
Pissed Jeans - Why Love Now ALBUM REVIEW,https://i.ytimg.com/vi/mlDLwLq3q-s/hqdefault.jpg,0,0.715,0.001,0,0,0.001,0,0.284,7
Algiers - The Underside of Power ALBUM REVIEW,https://i.ytimg.com/vi/2xKdxJYSns4/hqdefault.jpg,0,0.978,0,0,0,0.01,0,0.012,8
Fleet Foxes - Crack-Up ALBUM REVIEW,https://i.ytimg.com/vi/-J85naYNmck/hqdefault.jpg,0,0.779,0.001,0,0.21,0.009,0,0,8
Kirin J Callinan - Bravado ALBUM REVIEW,https://i.ytimg.com/vi/sFZgERqFK4g/hqdefault.jpg,0,0.337,0.001,0.005,0.644,0.01,0,0.003,8
alt-J - Relaxer ALBUM REVIEW,https://i.ytimg.com/vi/ka1Ko6n9FW0/hqdefault.jpg,0,0.875,0.003,0,0.115,0.007,0,0,5
Lil Yachty - Teenage Emotions ALBUM REVIEW,https://i.ytimg.com/vi/Gjx2OBFrUAE/hqdefault.jpg,0.002,0.359,0,0,0,0.359,0.001,0.278,2
Paramore - After Laughter ALBUM REVIEW,https://i.ytimg.com/vi/eGYRq0ywrq8/hqdefault.jpg,0.055,0.895,0.002,0.001,0.001,0.032,0.008,0.006,7
Harry Styles - Self-Titled ALBUM REVIEW,https://i.ytimg.com/vi/A8ObXvF_vhg/hqdefault.jpg,0.003,0.72,0.003,0.001,0.003,0.228,0.015,0.028,4
Perfume Genius - No Shape ALBUM REVIEW,https://i.ytimg.com/vi/6GDPN4Hs_44/hqdefault.jpg,0,0.446,0,0,0,0.554,0,0,8
Mac DeMarco - This Old Dog ALBUM REVIEW,https://i.ytimg.com/vi/ICvyW5xGZgs/hqdefault.jpg,0.002,0.002,0.001,0,0,0.526,0.149,0.32,7
Wale - Shine ALBUM REVIEW,https://i.ytimg.com/vi/Z3Yirj5sooU/hqdefault.jpg,0,0.961,0.002,0,0,0,0,0.036,opinion
Gorillaz - Humanz ALBUM REVIEW,https://i.ytimg.com/vi/Uooqk3B0kC4/hqdefault.jpg,0.008,0.965,0.001,0,0,0.003,0,0.023,5
The Smith Street Band - More Scared of You Than You Are of Me ALBUM REVIEW,https://i.ytimg.com/vi/a1PdNaCJ_M8/hqdefault.jpg,0.017,0.856,0.034,0.002,0.089,0.001,0,0.001,5
